dataset,status
Alpha1_jump1,
Alpha1_jump2,
Alpha1_jump3,
Alpha1_jump4,
Alpha1_jump5,
Alpha1_jump6,Endosymbiont
Alpha1_jump7,
Bacteroidale_jump1,
Bacteroidale_jump2,
Bacteroidale_jump3,
Betaproteo_jump1,
Betaproteo_jump10,Endosymbiont
Betaproteo_jump11,
Betaproteo_jump12,
Betaproteo_jump13,
Betaproteo_jump14,
Betaproteo_jump15,
Betaproteo_jump16,
Betaproteo_jump17,
Betaproteo_jump18,
Betaproteo_jump19,
Betaproteo_jump2,
Betaproteo_jump20,
Betaproteo_jump21,
Betaproteo_jump22,
Betaproteo_jump23,
Betaproteo_jump24,
Betaproteo_jump3,Endosymbiont
Betaproteo_jump4,
Betaproteo_jump5,
Betaproteo_jump6,
Betaproteo_jump7,
Betaproteo_jump8,
Betaproteo_jump9,
Cytophagale_jump1,
Cytophagale_jump2,
Enterobacterales_jump1,
Enterobacterales_jump10,
Enterobacterales_jump11,
Enterobacterales_jump12,Endosymbiont
Enterobacterales_jump13,Endosymbiont
Enterobacterales_jump14,Endosymbiont
Enterobacterales_jump15,Endosymbiont
Enterobacterales_jump16,
Enterobacterales_jump17,Endosymbiont
Enterobacterales_jump18,
Enterobacterales_jump2,
Enterobacterales_jump3,
Enterobacterales_jump4,
Enterobacterales_jump5,
Enterobacterales_jump6,
Enterobacterales_jump7,
Enterobacterales_jump8,
Enterobacterales_jump9,
Flavobacteriale_jump1,
Flavobacteriale_jump10,
Flavobacteriale_jump11,
Flavobacteriale_jump12,
Flavobacteriale_jump13,
Flavobacteriale_jump14,
Flavobacteriale_jump15,
Flavobacteriale_jump16,
Flavobacteriale_jump17,
Flavobacteriale_jump18,
Flavobacteriale_jump19,
Flavobacteriale_jump2,
Flavobacteriale_jump20,
Flavobacteriale_jump21,
Flavobacteriale_jump22,
Flavobacteriale_jump23,Endosymbiont
Flavobacteriale_jump24,Endosymbiont
Flavobacteriale_jump25,
Flavobacteriale_jump26,
Flavobacteriale_jump27,
Flavobacteriale_jump28,
Flavobacteriale_jump29,
Flavobacteriale_jump3,
Flavobacteriale_jump30,
Flavobacteriale_jump31,
Flavobacteriale_jump32,
Flavobacteriale_jump33,
Flavobacteriale_jump34,
Flavobacteriale_jump35,
Flavobacteriale_jump36,
Flavobacteriale_jump37,
Flavobacteriale_jump38,
Flavobacteriale_jump39,
Flavobacteriale_jump4,
Flavobacteriale_jump40,
Flavobacteriale_jump41,
Flavobacteriale_jump42,
Flavobacteriale_jump43,
Flavobacteriale_jump44,
Flavobacteriale_jump45,
Flavobacteriale_jump46,
Flavobacteriale_jump47,
Flavobacteriale_jump48,
Flavobacteriale_jump49,
Flavobacteriale_jump5,
Flavobacteriale_jump50,
Flavobacteriale_jump51,
Flavobacteriale_jump52,
Flavobacteriale_jump53,
Flavobacteriale_jump54,
Flavobacteriale_jump55,
Flavobacteriale_jump56,
Flavobacteriale_jump57,
Flavobacteriale_jump58,
Flavobacteriale_jump59,
Flavobacteriale_jump6,
Flavobacteriale_jump60,
Flavobacteriale_jump61,
Flavobacteriale_jump62,
Flavobacteriale_jump63,
Flavobacteriale_jump64,
Flavobacteriale_jump65,
Flavobacteriale_jump66,
Flavobacteriale_jump67,
Flavobacteriale_jump68,
Flavobacteriale_jump69,
Flavobacteriale_jump7,
Flavobacteriale_jump70,
Flavobacteriale_jump71,
Flavobacteriale_jump72,
Flavobacteriale_jump73,
Flavobacteriale_jump8,
Flavobacteriale_jump9,
Pseudomonadale_jump1,
Pseudomonadale_jump10,
Pseudomonadale_jump11,
Pseudomonadale_jump12,
Pseudomonadale_jump13,
Pseudomonadale_jump2,
Pseudomonadale_jump3,
Pseudomonadale_jump4,
Pseudomonadale_jump5,
Pseudomonadale_jump6,
Pseudomonadale_jump7,
Pseudomonadale_jump8,
Pseudomonadale_jump9,
Rhizobiale_jump1,
Rhizobiale_jump10,
Rhizobiale_jump11,
Rhizobiale_jump12,
Rhizobiale_jump13,
Rhizobiale_jump14,Obligate pathogen
Rhizobiale_jump15,
Rhizobiale_jump16,
Rhizobiale_jump17,
Rhizobiale_jump18,
Rhizobiale_jump19,Obligate pathogen
Rhizobiale_jump2,
Rhizobiale_jump20,
Rhizobiale_jump21,
Rhizobiale_jump22,
Rhizobiale_jump23,
Rhizobiale_jump3,
Rhizobiale_jump4,
Rhizobiale_jump5,
Rhizobiale_jump6,
Rhizobiale_jump7,
Rhizobiale_jump8,
Rhizobiale_jump9,
Rhodobacterale_jump1,
Rhodobacterale_jump10,
Rhodobacterale_jump11,
Rhodobacterale_jump12,
Rhodobacterale_jump13,
Rhodobacterale_jump14,
Rhodobacterale_jump15,
Rhodobacterale_jump16,
Rhodobacterale_jump17,
Rhodobacterale_jump18,
Rhodobacterale_jump19,
Rhodobacterale_jump2,
Rhodobacterale_jump20,
Rhodobacterale_jump21,
Rhodobacterale_jump22,
Rhodobacterale_jump23,
Rhodobacterale_jump24,
Rhodobacterale_jump25,
Rhodobacterale_jump26,
Rhodobacterale_jump27,
Rhodobacterale_jump3,
Rhodobacterale_jump4,
Rhodobacterale_jump5,
Rhodobacterale_jump6,
Rhodobacterale_jump7,
Rhodobacterale_jump8,
Rhodobacterale_jump9,
Sphingomonadale_jump1,
Sphingomonadale_jump10,
Sphingomonadale_jump11,
Sphingomonadale_jump2,
Sphingomonadale_jump3,
Sphingomonadale_jump4,
Sphingomonadale_jump5,
Sphingomonadale_jump6,
Sphingomonadale_jump7,
Sphingomonadale_jump8,
Sphingomonadale_jump9,
