focal_GC sis_GC
Flavobacteriale_jump1 42.1054814352 39.103334747
Flavobacteriale_jump2 32.1142477393 35.3370194367
Flavobacteriale_jump3 42.7932346215 38.35192980305
Flavobacteriale_jump4 49.4653714815 42.8109556781
Flavobacteriale_jump5 35.31437485 39.9851340187
Flavobacteriale_jump6 49.695364479 38.9740828226
Flavobacteriale_jump7 59.5053377131 49.695364479
Flavobacteriale_jump8 65.3158029323 59.07533164335
Flavobacteriale_jump9 54.4026420054 49.695364479
Flavobacteriale_jump10 55.6472056433 49.695364479
Flavobacteriale_jump11 56.28061929245 48.9060056263
Flavobacteriale_jump12 42.9862049202 NA
Flavobacteriale_jump13 58.3620612389 NA
Flavobacteriale_jump14 51.1490132838 58.1790407269
Flavobacteriale_jump15 37.8036409488 49.695364479
Flavobacteriale_jump16 49.1535796021 39.7552845068
Flavobacteriale_jump17 44.5793076465 37.5405673995
Flavobacteriale_jump18 41.7122019408 45.0404564239
Flavobacteriale_jump19 54.65032061345 45.4809905455
Flavobacteriale_jump20 48.9866069665 54.65032061345
Flavobacteriale_jump21 56.6377021415 34.8325640175
Flavobacteriale_jump22 30.7431928018 35.9822971619
Flavobacteriale_jump23 30.1950036252 32.6593361117
Flavobacteriale_jump24 21.0396868307 26.78322524445
Flavobacteriale_jump25 30.4790536549 36.44343064255
Flavobacteriale_jump26 42.3045567212 36.45929196265
Flavobacteriale_jump27 42.4694745162 39.4837021125
Flavobacteriale_jump28 42.6927702421 39.64038629615
Flavobacteriale_jump29 44.00096636805 36.2734076411
Flavobacteriale_jump30 38.6825390916 36.117925584
Flavobacteriale_jump31 40.3730127357 35.71139078135
Flavobacteriale_jump32 39.4257465675 34.24819958865
Flavobacteriale_jump33 32.357677172 36.0820892443
Flavobacteriale_jump34 45.0864604629 36.2617229277
Flavobacteriale_jump35 30.0003107021 40.73042585255
Flavobacteriale_jump36 48.8702682126 39.4049314151
Flavobacteriale_jump37 55.2932925408 48.8702682126
Flavobacteriale_jump38 37.0616836799 41.8837520553
Flavobacteriale_jump39 44.9220574944 41.7804810819
Flavobacteriale_jump40 37.8487754578 41.9937838929
Flavobacteriale_jump41 45.1478322342 41.5058406833
Flavobacteriale_jump42 43.7864190748 40.1087024208
Flavobacteriale_jump43 47.0842106351 40.1087024208
Flavobacteriale_jump44 34.9288187088 37.4262715459
Flavobacteriale_jump45 49.9840646509 38.2523462356
Flavobacteriale_jump46 44.1681213753 38.315989554
Flavobacteriale_jump47 44.8010129 36.7351787985
Flavobacteriale_jump48 44.2334044019 38.5151483773
Flavobacteriale_jump49 41.0134823214 34.05374346155
Flavobacteriale_jump50 36.9830212847 33.8616618142
Flavobacteriale_jump51 35.6095633593 33.6556947326
Flavobacteriale_jump52 43.08283628835 35.5329704316
Flavobacteriale_jump53 49.0215003445 45.4035809385
Flavobacteriale_jump54 39.31954808735 31.3835973471
Flavobacteriale_jump55 43.8056501804 39.6163190306
Flavobacteriale_jump56 33.2267441398 37.710083094
Flavobacteriale_jump57 42.2154102668 36.3479562758
Flavobacteriale_jump58 42.2923731257 36.4249397825
Flavobacteriale_jump59 35.9324926253 32.59714364125
Flavobacteriale_jump60 41.2725103204 36.6107625054
Flavobacteriale_jump61 39.7832813976 36.79625330335
Flavobacteriale_jump62 42.1446015687 37.0665601176
Flavobacteriale_jump63 31.3891124361 35.1618535024
Flavobacteriale_jump64 39.6594548056 35.1442372403
Flavobacteriale_jump65 38.4880515147 33.4847813741
Flavobacteriale_jump66 39.2359944615 36.186656537
Flavobacteriale_jump67 31.3292563346 35.3743956768
Flavobacteriale_jump68 38.1053773976 31.5567082322
Flavobacteriale_jump69 38.0417906882 30.17938113905
Flavobacteriale_jump70 34.80324474245 29.8121713065
Flavobacteriale_jump71 41.0814540557 31.6353652711
Flavobacteriale_jump72 35.21699890935 29.499259014
Flavobacteriale_jump73 33.1047890835 35.60550372505
