jumpBranch depth nTaxa_focal nTaxa_sis nTaxa_out1 nTaxa_out2
jump1 2 outgroup1 1 68 540 NA
jump2 7 outgroup1 2 1 3 62
jump3 11 outgroup1 1 2 3 62
jump4 55 outgroup2 1 1 3 1
jump5 60 outgroup2 1 1 1 15
jump6 64 outgroup1 28 24 10 NA
jump7 65 outgroup1 4 24 24 NA
jump8 68 outgroup1 1 2 1 24
jump9 73 outgroup1 1 23 4 NA
jump10 76 outgroup2 3 18 2 1
jump11 96 outgroup2 2 1 2 3
jump12 100 outgroup2 4 5 9 3
jump13 107 outgroup2 5 4 9 3
jump14 114 outgroup2 1 1 2 1
jump15 116 outgroup1 2 21 1 NA
jump16 121 outgroup1 1 3 6 52
jump17 132 outgroup2 1 3 2 4
jump18 159 outgroup2 1 2 3 3
jump19 168 outgroup1 7 9 4 516
jump20 177 outgroup2 1 2 1 2
jump21 182 outgroup1 1 515 20 NA
jump22 185 outgroup1 1 119 395 NA
jump23 190 outgroup1 1 1 10 107
jump24 192 outgroup1 2 8 2 107
jump25 212 outgroup1 1 96 10 NA
jump26 216 outgroup1 1 90 2 NA
jump27 219 outgroup1 1 1 88 NA
jump28 232 outgroup2 1 2 2 8
jump29 238 outgroup2 2 4 2 5
jump30 258 outgroup1 1 11 55 NA
jump31 276 outgroup2 1 2 7 1
jump32 320 outgroup2 2 2 12 1
jump33 393 outgroup1 2 2 84 NA
jump34 397 outgroup1 1 1 91 NA
jump35 444 outgroup1 1 6 9 337
jump36 460 outgroup1 2 40 3 NA
jump37 462 outgroup1 1 1 40 NA
jump38 467 outgroup1 1 1 11 27
jump39 469 outgroup1 1 10 2 27
jump40 473 outgroup2 1 1 8 1
jump41 479 outgroup2 1 5 2 2
jump42 497 outgroup2 1 4 8 2
jump43 503 outgroup2 1 1 2 1
jump44 509 outgroup2 6 1 1 5
jump45 541 outgroup1 1 1 25 NA
jump46 546 outgroup1 1 1 1 42
jump47 550 outgroup1 1 3 2 127
jump48 575 outgroup2 1 5 3 4
jump49 609 outgroup1 1 73 29 NA
jump50 628 outgroup2 1 1 1 15
jump51 669 outgroup1 1 1 1 21
jump52 729 outgroup1 3 4 58 NA
jump53 732 outgroup2 1 1 1 4
jump54 789 outgroup1 12 17 74 NA
jump55 803 outgroup2 1 3 2 1
jump56 811 outgroup2 1 1 4 1
jump57 841 outgroup2 2 1 10 5
jump58 854 outgroup2 1 2 18 6
jump59 880 outgroup2 1 6 2 2
jump60 896 outgroup2 3 19 9 1
jump61 915 outgroup2 1 4 8 6
jump62 928 outgroup2 1 5 2 5
jump63 943 outgroup2 1 1 1 6
jump64 959 outgroup2 3 3 1 12
jump65 1046 outgroup1 2 19 2 39
jump66 1056 outgroup1 1 1 6 31
jump67 1067 outgroup2 1 1 4 2
jump68 1099 outgroup2 1 1 2 13
jump69 1157 outgroup2 1 14 11 1
jump70 1179 outgroup2 2 2 2 1
jump71 1186 outgroup1 1 3 27 NA
jump72 1204 outgroup2 2 1 2 1
jump73 1213 outgroup1 1 2 537 NA
