focal_GC sis_GC
Rhizobiale_jump1 56.69569 63.61166
Rhizobiale_jump2 49.60694 63.08799
Rhizobiale_jump3 57.10994 61.79715
Rhizobiale_jump4 71.77842 64.18992
Rhizobiale_jump5 60.09324 63.344825
Rhizobiale_jump6 69.27871 63.344825
Rhizobiale_jump7 52.28713 59.79862
Rhizobiale_jump8 47.01995 53.29309
Rhizobiale_jump9 52.08598 59.79862
Rhizobiale_jump10 52.61544 62.23754
Rhizobiale_jump11 56.92775 61.483785
Rhizobiale_jump12 61.25355 66.74406
Rhizobiale_jump13 65.46072 60.003105
Rhizobiale_jump14 35.31761 60.712805
Rhizobiale_jump15 55.03168 58.42374
Rhizobiale_jump16 49.108085 60.75201
Rhizobiale_jump17 52.07987 57.46942
Rhizobiale_jump18 53.72293 56.912795
Rhizobiale_jump19 38.207 57.46942
Rhizobiale_jump20 41.83979 35.67216
Rhizobiale_jump21 64.80707 61.34782
Rhizobiale_jump22 68.79625 64.6135
Rhizobiale_jump23 62.99683 67.467035
