focal_GC sis_GC
Rhodobacterale_jump1 57.18599 64.50507
Rhodobacterale_jump2 50.43084 63.24368
Rhodobacterale_jump3 55.68224 63.39125
Rhodobacterale_jump4 59.7864 67.40998
Rhodobacterale_jump5 44.906565 55.85781
Rhodobacterale_jump6 41.44045 56.11688
Rhodobacterale_jump7 51.06328 65.293975
Rhodobacterale_jump8 53.81785 65.14978
Rhodobacterale_jump9 36.89474 48.20254
Rhodobacterale_jump10 57.23108 63.84295
Rhodobacterale_jump11 62.88718 67.083985
Rhodobacterale_jump12 50.47379 58.6079
Rhodobacterale_jump13 58.63811 65.28584
Rhodobacterale_jump14 58.36721 63.51011
Rhodobacterale_jump15 65.74001 61.31763
Rhodobacterale_jump16 44.26552 53.63886
Rhodobacterale_jump17 48.15194 53.63886
Rhodobacterale_jump18 67.62371 54.915605
Rhodobacterale_jump19 70.336415 57.043625
Rhodobacterale_jump20 40.31901 50.117825
Rhodobacterale_jump21 51.56366 61.71973
Rhodobacterale_jump22 52.79841 60.05637
Rhodobacterale_jump23 56.76311 62.97421
Rhodobacterale_jump24 67.601 61.12604
Rhodobacterale_jump25 64.05631 60.033415
Rhodobacterale_jump26 56.99685 62.528725
Rhodobacterale_jump27 71.12319 62.705225
