jumpBranch depth nTaxa_focal nTaxa_sis nTaxa_out1 nTaxa_out2
jump1 25 outgroup2 1 1 3 2
jump2 31 outgroup1 2 11 104 NA
jump3 38 outgroup2 1 5 4 1
jump4 176 outgroup1 9 31 29 NA
jump5 199 outgroup1 2 1 1 21
jump6 248 outgroup2 2 1 6 1
jump7 263 outgroup1 1 337 131 NA
jump8 270 outgroup1 10 322 3 NA
jump9 282 outgroup2 1 1 3 2
jump10 337 outgroup2 1 5 6 2
jump11 379 outgroup2 1 6 3 1
jump12 426 outgroup2 1 4 2 9
jump13 467 outgroup2 1 7 6 1
jump14 482 outgroup1 196 11 15 NA
jump15 492 outgroup2 1 3 1 1
jump16 517 outgroup2 1 2 2 4
jump17 520 outgroup2 1 1 1 2
jump18 529 outgroup2 1 4 14 6
jump19 564 outgroup1 6 19 2 148
jump20 590 outgroup2 3 2 3 2
jump21 655 outgroup1 1 1 22 NA
jump22 678 outgroup2 1 5 13 3
jump23 728 outgroup2 10 1 1 2
jump24 750 outgroup1 1 1 2 37
jump25 754 outgroup1 60 77 11 NA
jump26 842 outgroup2 1 12 2 4
jump27 913 outgroup2 1 4 1 8
