"focal_GC" "sister_GC" "delta_GC" "directionGC" "focal_metabolism" "sister_metabolism" "focal_isolation" "sister_isolation" "endoSymb_status"
"Sphingomonadale_jump1" 64.69 56.74 7.95 "1" "NA|NA|NA|NA|NA|aerobic|aerobic|NA|aerobic|aerobic|NA|NA|NA|NA|NA|aerobic|NA|NA|NA|obligate aerobic|NA|NA|NA|aerobic|NA|aerobic|aerobic|NA|NA|facultative|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|NA|NA|NA|aerobic|NA|NA|NA|NA|aerobic|NA|aerobic|obligate aerobic|NA|aerobic|NA|NA|obligate aerobic|NA|obligate aerobic|obligate aerobic|aerobic|NA|NA|NA|aerobic|NA|aerobic|aerobic|aerobic|obligate aerobic|NA|NA|aerobic|aerobic|aerobic|aerobic|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|aerobic|NA|NA|aerobic|NA|NA|NA|NA|NA|aerobic|aerobic|NA|NA|obligate aerobic|anaerobic|anaerobic|NA|obligate aerobic|aerobic|NA|aerobic|NA|anaerobic|NA|obligate aerobic|NA|NA|aerobic|NA|aerobic|NA|aerobic|NA|obligate aerobic|obligate aerobic|NA|NA|obligate aerobic|NA|NA|NA|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|obligate aerobic|NA|NA|obligate aerobic|obligate aerobic|aerobic|NA|obligate aerobic|NA|aerobic|aerobic|aerobic|NA|aerobic|NA|aerobic|obligate aerobic|aerobic|NA|NA|obligate aerobic|aerobic|NA|NA|obligate aerobic|NA|NA|aerobic|NA|aerobic|obligate aerobic|NA|NA|NA|NA|NA|NA|aerobic|aerobic|NA|aerobic|aerobic|aerobic|aerobic|NA|NA|NA|NA|NA|NA|NA|microaerophilic|NA|obligate aerobic|obligate aerobic|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|NA|aerobic|NA|NA|NA|NA|NA|aerobic|NA|aerobic|NA|aerobic|NA|NA|obligate aerobic|NA|NA|obligate aerobic|NA|aerobic" "NA|obligate aerobic|aerobic|NA" "NA|water|soil|NA|soil|water|water|NA|sludge|host|NA|NA|NA|NA|NA|host|NA|NA|host|NA|NA|NA|NA|food|sludge|soil|water|water|NA|soil|NA|NA|soil|NA|NA|NA|NA|water|NA|water|NA|water|NA|NA|petroleum|water|NA|NA|NA|NA|host|NA|water|soil|NA|soil|host|NA|water|NA|soil|host|soil|NA|host|NA|bioreactor/digester|NA|wastewater|NA|NA|water|NA|NA|sediment|NA|water|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|water|biofilm|NA|NA|water|NA|NA|NA|NA|NA|NA|water|water|NA|sediment|NA|NA|NA|water|water|NA|water|water|water|water|water|NA|NA|NA|NA|biofilm|NA|water|NA|host|water|NA|NA|water|NA|sediment|NA|water|sediment|NA|NA|NA|NA|NA|NA|NA|wastewater|bioreactor/digester|NA|NA|soil|soil|wastewater|NA|sludge|NA|host|sediment|NA|NA|built|soil|soil|soil|sediment|NA|NA|host|host|NA|NA|soil|NA|NA|wastewater|water|water|bioreactor/digester|NA|NA|NA|NA|NA|NA|host|bioreactor/digester|NA|host|NA|NA|NA|NA|NA|NA|NA|NA|host|NA|NA|NA|host|host|host|NA|NA|host|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|soil|soil|NA|NA|NA|NA|host|NA|water|NA|soil|NA|NA|soil|NA|water|water|NA|NA" "NA|sediment|NA|built" "0"
"Sphingomonadale_jump2" 45.05 65.93 -20.88 "-1" "facultative|facultative" "NA|aerobic|aerobic|NA|NA|NA|NA|NA|aerobic|NA|NA|NA|obligate aerobic" "food|food" "NA|sludge|host|NA|NA|NA|NA|NA|host|NA|NA|host|NA" "0"
"Sphingomonadale_jump3" 56.38 63.46 -7.08 "-1" NA NA NA NA "0"
"Sphingomonadale_jump4" 46.12 56.38 -10.26 "-1" NA "NA|NA|NA" "water" "NA|NA|NA" "0"
"Sphingomonadale_jump5" 59.38 64.19 -4.81 "-1" "aerobic" "aerobic|aerobic" NA "sediment|NA" "0"
"Sphingomonadale_jump6" 56.5 62.94 -6.44 "-1" NA "anaerobic" NA NA "0"
"Sphingomonadale_jump7" 56.88 60.69 -3.81 "-1" NA "anaerobic" "sediment" NA "0"
"Sphingomonadale_jump8" 68.36 65.19 3.17 "1" NA "aerobic" NA "biofilm" "0"
"Sphingomonadale_jump9" 56.87 61.37 -4.5 "-1" NA "NA|aerobic" NA "NA|water" "0"
"Sphingomonadale_jump10" 57.37 60.97 -3.6 "-1" "aerobic" "aerobic" "host" "water" "0"
