row.names jumpBranch depth nTaxa_focal nTaxa_sis nTaxa_out1 nTaxa_out2
Sphingomonadale_jump1 jump1 2 outgroup1 253 4 3 NA
Sphingomonadale_jump2 jump2 19 outgroup1 2 13 226 NA
Sphingomonadale_jump3 jump3 52 outgroup1 1 1 1 156
Sphingomonadale_jump4 jump4 105 outgroup2 1 3 1 4
Sphingomonadale_jump5 jump5 165 outgroup2 1 2 2 5
Sphingomonadale_jump6 jump6 227 outgroup2 1 1 2 1
Sphingomonadale_jump7 jump7 231 outgroup2 1 1 2 1
Sphingomonadale_jump8 jump8 260 outgroup2 1 1 4 13
Sphingomonadale_jump9 jump9 263 outgroup2 1 3 2 13
Sphingomonadale_jump10 jump10 268 outgroup2 1 1 1 1
Sphingomonadale_jump11 jump11 518 outgroup1 1 1 1 257
Rhizobiale_jump1 jump1 5 outgroup1 1 12 19 505
Rhizobiale_jump2 jump2 86 outgroup2 1 4 2 7
Rhizobiale_jump3 jump3 104 outgroup2 2 4 1 7
Rhizobiale_jump4 jump4 150 outgroup1 1 1 38 NA
Rhizobiale_jump5 jump5 251 outgroup1 1 95 1 NA
Rhizobiale_jump6 jump6 253 outgroup1 1 94 1 NA
Rhizobiale_jump7 jump7 451 outgroup1 8 12 2 31
Rhizobiale_jump8 jump8 456 outgroup2 1 1 5 1
Rhizobiale_jump9 jump9 489 outgroup1 2 20 31 NA
Rhizobiale_jump10 jump10 495 outgroup1 1 1 29 NA
Rhizobiale_jump11 jump11 560 outgroup1 1 244 3 NA
Rhizobiale_jump12 jump12 566 outgroup2 1 1 1 12
Rhizobiale_jump13 jump13 599 outgroup2 2 2 1 1
Rhizobiale_jump14 jump14 612 outgroup1 5 114 3 NA
Rhizobiale_jump15 jump15 708 outgroup2 2 2 1 8
Rhizobiale_jump16 jump16 848 outgroup1 2 128 99 NA
Rhizobiale_jump17 jump17 855 outgroup1 1 7 4 31
Rhizobiale_jump18 jump18 861 outgroup2 3 2 1 1
Rhizobiale_jump19 jump19 876 outgroup1 31 12 56 NA
Rhizobiale_jump20 jump20 893 outgroup2 1 2 7 19
Rhizobiale_jump21 jump21 943 outgroup2 2 1 1 3
Rhizobiale_jump22 jump22 1040 outgroup1 1 1 42 NA
Rhizobiale_jump23 jump23 1064 outgroup2 1 2 1 1
Rhodobacterale_jump1 jump1 25 outgroup2 1 1 3 2
Rhodobacterale_jump2 jump2 31 outgroup1 2 11 104 NA
Rhodobacterale_jump3 jump3 38 outgroup2 1 5 4 1
Rhodobacterale_jump4 jump4 176 outgroup1 9 31 29 NA
Rhodobacterale_jump5 jump5 199 outgroup1 2 1 1 21
Rhodobacterale_jump6 jump6 248 outgroup2 2 1 6 1
Rhodobacterale_jump7 jump7 263 outgroup1 1 337 131 NA
Rhodobacterale_jump8 jump8 270 outgroup1 10 322 3 NA
Rhodobacterale_jump9 jump9 282 outgroup2 1 1 3 2
Rhodobacterale_jump10 jump10 337 outgroup2 1 5 6 2
Rhodobacterale_jump11 jump11 379 outgroup2 1 6 3 1
Rhodobacterale_jump12 jump12 426 outgroup2 1 4 2 9
