,focal_habitat,sis_habitat,focal_metabolism,sis_metabolism
Sphingomonadale_jump1,NA|water|soil|NA|soil|water|water|NA|sludge|host|NA|NA|NA|NA|NA|host|NA|NA|host|NA|NA|NA|NA|food|sludge|soil|water|water|NA|soil|NA|NA|soil|NA|NA|NA|NA|water|NA|water|NA|water|NA|NA|petroleum|water|NA|NA|NA|NA|host|NA|water|soil|NA|soil|host|NA|water|NA|soil|host|soil|NA|host|NA|bioreactor/digester|NA|wastewater|NA|NA|water|NA|NA|sediment|NA|water|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|water|biofilm|NA|NA|water|NA|NA|NA|NA|NA|NA|water|water|NA|sediment|NA|NA|NA|water|water|NA|water|water|water|water|water|NA|NA|NA|NA|biofilm|NA|water|NA|host|water|NA|NA|water|NA|sediment|NA|water|sediment|NA|NA|NA|NA|NA|NA|NA|wastewater|bioreactor/digester|NA|NA|soil|soil|wastewater|NA|sludge|NA|host|sediment|NA|NA|built|soil|soil|soil|sediment|NA|NA|host|host|NA|NA|soil|NA|NA|wastewater|water|water|bioreactor/digester|NA|NA|NA|NA|NA|NA|host|bioreactor/digester|NA|host|NA|NA|NA|NA|NA|NA|NA|NA|host|NA|NA|NA|host|host|host|NA|NA|host|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|soil|soil|NA|NA|NA|NA|host|NA|water|NA|soil|NA|NA|soil|NA|water|water|NA|NA,NA|sediment|NA|built,NA|NA|NA|NA|NA|aerobic|aerobic|NA|aerobic|aerobic|NA|NA|NA|NA|NA|aerobic|NA|NA|NA|obligate aerobic|NA|NA|NA|aerobic|NA|aerobic|aerobic|NA|NA|facultative|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|NA|NA|NA|aerobic|NA|NA|NA|NA|aerobic|NA|aerobic|obligate aerobic|NA|aerobic|NA|NA|obligate aerobic|NA|obligate aerobic|obligate aerobic|aerobic|NA|NA|NA|aerobic|NA|aerobic|aerobic|aerobic|obligate aerobic|NA|NA|aerobic|aerobic|aerobic|aerobic|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|aerobic|NA|NA|aerobic|NA|NA|NA|NA|NA|aerobic|aerobic|NA|NA|obligate aerobic|anaerobic|anaerobic|NA|obligate aerobic|aerobic|NA|aerobic|NA|anaerobic|NA|obligate aerobic|NA|NA|aerobic|NA|aerobic|NA|aerobic|NA|obligate aerobic|obligate aerobic|NA|NA|obligate aerobic|NA|NA|NA|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|obligate aerobic|NA|NA|obligate aerobic|obligate aerobic|aerobic|NA|obligate aerobic|NA|aerobic|aerobic|aerobic|NA|aerobic|NA|aerobic|obligate aerobic|aerobic|NA|NA|obligate aerobic|aerobic|NA|NA|obligate aerobic|NA|NA|aerobic|NA|aerobic|obligate aerobic|NA|NA|NA|NA|NA|NA|aerobic|aerobic|NA|aerobic|aerobic|aerobic|aerobic|NA|NA|NA|NA|NA|NA|NA|microaerophilic|NA|obligate aerobic|obligate aerobic|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|NA|aerobic|NA|NA|NA|NA|NA|aerobic|NA|aerobic|NA|aerobic|NA|NA|obligate aerobic|NA|NA|obligate aerobic|NA|aerobic,NA|obligate aerobic|aerobic|NA
Sphingomonadale_jump2,food|food,NA|sludge|host|NA|NA|NA|NA|NA|host|NA|NA|host|NA,facultative|facultative,NA|aerobic|aerobic|NA|NA|NA|NA|NA|aerobic|NA|NA|NA|obligate aerobic
Sphingomonadale_jump3,NA,NA,NA,NA
Sphingomonadale_jump4,water,NA|NA|NA,NA,NA|NA|NA
Sphingomonadale_jump5,NA,sediment|NA,aerobic,aerobic|aerobic
Sphingomonadale_jump6,NA,NA,NA,anaerobic
Sphingomonadale_jump7,sediment,NA,NA,anaerobic
Sphingomonadale_jump8,NA,biofilm,NA,aerobic
Sphingomonadale_jump9,NA,NA|water,NA,NA|aerobic
Sphingomonadale_jump10,host,water,aerobic,aerobic
